ID,Text Blocks,Goal Score
0,All major manufacturing sites are certified to meet ISO 14001 environmental management standard.,0.96425581
1,Our 2025 target to reduce energy use by 10% will help cut greenhouse gas emissions  by 25%.,0.88913393
2,"use transformative manufacturing methods and technologies, including advanced batteries and alternative-propulsion aircraft.",0.518659532
3,Boeing Portland uses reverse-osmosis technology to recycle and reuse 13 million gallons of water a year.,0.315609485
